Survey,clean_text,Label
Kelas offline,kelas offline,negatif
secara keseluruhan penyampaian materi yang diberikan sangat baik,seluruh sampai materi beri sangat baik,positif
"Untuk kedepannya mungkin dalam proses pembelajaran penyampaian materi lebih rinci, jelas, dan terstruktur",depan mungkin proses ajar sampai materi lebih rinci jelas struktur,negatif
Untuk Materinya di sampaikan mantap,materi sampai mantap,positif
"Saran untuk guru pengampu menyamaratakan setiap siswa, mengutamakan dan memfokuskan secara lebih kapada Siswa yang dianggap kurang, dan harapannya lebih baik lagi dari yang sudah diterapkan",saran guru ampu menyamaratakan siswa utama fokus lebih kapada siswa anggap kurang harap lebih baik dari sudah terap,negatif
Terima kasih bu,terima kasih bu,positif
semangatt untuk kedepan nya,semangatt depan nya,positif
mungkin perlu disesuaikan dengan bidang yang dikuasai,mungkin perlu sesuai bidang asai,negatif
lebih sabar lagi dalam mengajar,lebih sabar dalam ajar,negatif
mengaplikasikan metode pembelajaran yang aktif agar pembelajaran tidak terkesan monoton dan membuat Siswa tidak mengantuk saat dikelas,aplikasi metode ajar aktif ajar tidak kes monoton buat siswa tidak antuk kelas,negatif
memberikan pembahasan dari tugas agar bisa mengerti letak kesalahan,beri bahas tugas bisa erti letak salah,positif
"Saran dari saya, Bapak Guru sekiranya lebih pelanpelan dalam memberikan materi Pelajaran, sehingga kami dapat memahami satu persatu materi dengan baik.",saran saya bapak guru sekira lebih pelanpelan beri materi ajar kami paham satu satu materi baik,negatif
semoga lebih baik kedepannya dalam mengajar,moga lebih baik depan ajar,positif
Terimakasih bapak telah memberikan materi Pengantar RPL dengan sangat baik. Saya sebagai Siswa terbantu ketika bertanya mengenai materi.,terimakasih bapak beri materi antar rpl sangat baik bagai siswa bantu tanya kena materi,positif
selalu melaukan perbaikan dan evaluasi Pelajaran,selalu lauk baik evaluasi ajar,positif
sudah sangat baik dalam membimbing Siswa,sangat baik bimbing siswa,positif
"sarannya, semoga pak lebih interaktif kepada Siswa saat mengajar",saran moga pak lebih interaktif siswa ajar,negatif
Materi yang diberikan lengkap & kompleks. Mengajarkan karakter & mindset yang baik kepada siswa.Hanya saja ketika menyampaikan materi saya masih kurang puas dengan penyampaian materinya yang agak sedikit monoton. Saya butuh penjelasan lebih lanjut terhadap point2 yang ada & bagaimana penerapannya nanti. Terimakasih,materi beri lengkap kompleks ajar karakter mindset baik siswa saja sampai materi masih kurang puas sampai materi agak sedikit monoton butuh jelas lebih lanjut point ada bagaimana terap terimakasih,negatif
unknow,unknow,positif
Selalu melakukan hal yang terbaik untuk siswanya,selalu laku yang baik siswa,positif
"Kesan saya kepada ibu ini orangnya sangat baik walaupun terlihat tegas tapi aslinnya baik banget, mudah diajak bercanda, dan",kesan kepada ibu orang sangat baik walaupun lihat tegas aslinnya baik banget mudah ajak canda,positif
"Komunikasi dan interaksi ibu pada pengajaran di kelas sangatlah baik, disamping jenis Pelajaran yang tergolong susah, pembawaannya dapat dimengerti Siswa",komunikasi interaksi ibu ajar kelas sangat baik samping jenis ajar golong susah bawa erti siswa,positif
Proses pembelajaran yang mudah dipahami,proses ajar mudah paham,positif
Jika mengasih tugas jangan terlalu berat,asih tugas jangan terlalu berat,negatif
mungkin bisa diperlambat penjelasannya karena terkadang agak kecepetan,mungkin lambat jelas terkadang kecepetan,negatif
semoga bisa lebih baik lagi,moga lebih baik,positif
untuk tulisan di papan semoga lebih jelas,tulis papan moga lebih jelas,positif
"tidak ada, terima kasih Pak",tidak terima kasih pak,positif
"Untuk penyampaian materi dari Bu sudah baik, namun terkadang suaranya kurang keras",sampai materi bu baik terkadang suara kurang keras,negatif
"sudah lebih baik dari semester kemarin, tetap seperti ini bu",lebih baik semester kemarin tetap ini bu,positif
Sangat kompeten,sangat kompeten,positif
Terimakasih untuk bu guru telah memberika materi Logika Matematika dengan sangat baik. Saran saya semoga kedepanya lebih professional lagi dengan on cam pada saat mengajar online di zoom.,terimakasih bu guru memberika materi logika matematika sangat baik saran moga depa lebih professional dengan on cam saat ajar online zoom,negatif
"Lebih berkomitmen lagi dalam mengajar, jika sudah mengambil tanggung jawab untuk mengajar jangan sering ditinggalkan, atau untuk mengatasi bisa ubah jadwal",lebih komitmen dalam ajar sudah ambil tanggung jawab ajar jangan sering tinggal untuk atas ubah jadwal,negatif
untuk metode belajar di tingkatkan lagi,metode ajar tingkat,negatif
jangan suka ngelucu sendiri pak dan jangan suka marah2 sendiri,jangan suka ngelucu sendiri pak jangan suka marah sendiri,negatif
Sebaiknya di adakan praktikum untuk materi yang aka di berikan pada tugas besar,baik adakan praktikum materi aka ikan tugas besar,negatif
mungkin untuk pembawaannya dari guru masih kurang jadi lebih di tingkatkan,mungkin bawa guru kurang jadi lebih tingkat,negatif
semoga kedepan nya bisa lebih baik lagi,moga depan nya lebih baik,positif
dari materi sangat mudah dimengerti,materi sangat mudah erti,positif
kalau menerangkan dimohon tidak terlalu cepat bu :),kalau terang mohon tidak terlalu cepat bu,negatif
untuk kedepannya pak kalau menjelaskan materi jangan terlalu cepat,depan pak kalau jelas materi jangan terlalu cepat,negatif
"suara saat mengajar kurang keras, lainya sudah bagus.",suara ajar kurang keras lai bagus,negatif
"Jarang masuk kelas ,siswa disuruh belajar otodidak tanpa diajarkan apapun untuk persiapan uts maupun uas, cara mengajarnya kurang karena sering keluar dari topik pelajaran.",jarang masuk kelas siswa suruh ajar otodidak ajar apa siap uts maupun uas cara ajar kurang sering keluar topik ajar,negatif
Berharap di semester depan ketemu lagi sama ibu <3,harap semester depan ketemu sama ibu,positif
"Saran dari saya, Bapak Guru sekiranya lebih pelanpelan dalam memberikan materi Pelajaran, sehingga kami dapat memahami satu persatu materi dengan baik. Terimakasih bapak¿¿¿¿",saran saya bapak guru sekira lebih pelanpelan beri materi ajar kami paham satu satu materi baik terimakasih bapak,negatif
"cara mengajarnya udah bagus,terimkasih buat bapak alhamdulillah berkat bapak guru saya mulai mengetahui banyak hal mengenai agama ini,mulai dari sejarahnya dan sebaganya .",cara ajar udah bagus terimkasih buat bapak alhamdulillah berkat bapak guru mulai tahu banyak kena agama mulai sejarah sebaganya,positif
Semakin baik untuk kedepannya,makin baik depan,positif
Materi m operasional lumayan sulit namun menjadi dapat mudah dipahami,materi m operasional lumayan sulit jadi mudah paham,positif
Belim ada,belim,positif
Semoga guru semakin handal dalam memberi materi dan keteladanan kepada para Siswa,moga guru makin handal beri materi teladan para siswa,positif
"sebaiknya metode pembelajarannya dipertahankan, karena pembelajaran dicampur dengan humor membuat Siswa tidak jenuh dan dengan lebih mudah memahami materi, disertai dengan praktikum",baik metode ajar tahan ajar campur humor buat siswa tidak jenuh lebih mudah paham materi serta dengan praktikum,positif
Penjelasan sulit dipahami,jelas sulit paham,negatif
semangat,semangat,positif
"tidak ada karena menurut saya, cara mengajar pak sudah sangat baik",tidak karena saya cara ajar pak sangat baik,positif
"sharescreen/waktu beliau paparkan materi itu mungkin bisa lebih di urutin lagi, beliau kalau paparkan materinya itu terlalu cepat.",sharescreen waktu beliau papar materi mungkin lebih urutin beliau kalau papar materi terlalu cepat,negatif
Semangat pak jangan susah susah tugas nya dan untuk soal kuis nya jangan banyak banyak pak,semangat pak jangan susah susah tugas nya untuk soal kuis nya jangan banyak banyak pak,positif
sudah baik asli,baik asli,positif
sangat bagus ¿¿¿¿,sangat bagus,positif
lebih sabar lagi,lebih sabar,negatif
semangat terus pak,semangat terus pak,positif
"untuk pengajaran ibu sudah bagus hanya saja seperti Pelajaran lain yang dilakukan secara online, memiliki kurangnya efektifitas dalam melakukan interaksi pengajaran",ajar ibu bagus saja ajar yang laku online milik kurang efektifitas laku interaksi ajar,positif
"terima kasih bapak atas ilmu yang diberikan selama satu semester ini, saran untuk metode pembelajaran lebih memberikan materi tentang Pelajaran, tidak menggunakan konsep diskusi di setiap pertemuan",terima kasih bapak atas ilmu beri lama satu semester saran metode ajar lebih beri materi ajar tidak guna konsep diskusi tiap temu,negatif
oke,oke,positif
Saat penyampaian materi bisa ditunjukkan video animasi.,sampai materi tunjuk video animasi,negatif
"dalam proses mengajar telah memberikan materi dengan baik dan mudah dipahami, semoga semester depan masih di ampu dengan guru ini",proses ajar beri materi baik mudah paham moga semester depan di ampu guru,positif
Bagus,bagus,positif
Sudah sangat baik jikalau bisa soal UAS nya jangan susah susah,sangat baik jikalau soal uas nya jangan susah susah,positif
Kereen¿¿¿¿¿¿¿¿,kereen,positif
semoga lebih baik,moga lebih baik,positif
lum ada,lum,positif
"Saran dari saya, bapak/ibu dapat menyesuaikan metode pembelajaran yang aktif kepada siswa/i agar tidak monoton sebatas penjelasan semata.",saran saya bapak ibu sesuai metode ajar aktif siswa i tidak monoton batas jelas semata,negatif
"Bu , joss",bu joss,positif
Tolong agar tidak memakai guru luar biasa untuk Pelajaran umum jurusan karena pertemuan hanya dilakukan online setaip jadwal kelas berlangsung sehingga saya merasa kesulitan untuk menangkap materi dan hanya sering di beri tugas merangkum ppt saja. Terima kasih,agar tidak pakai guru luar biasa ajar umum jurus temu laku online setaip jadwal kelas langsung saya rasa sulit tangkap materi hanya sering beri tugas rangkum ppt terima kasih,negatif
tetap semangat dan sabar dalam melakukan penyampaian materi kepada siswa.,tetap semangat sabar laku sampai materi siswa,positif
dikasih latihan soal lagi disetiap pertemuannya agar lebih paham lagi,kasih latih soal tiap temu lebih paham,negatif
terimakasih bu atas pembelajaran disemester ini.,terimakasih bu atas ajar semester,positif
sudah sangat baik pak pertahankan,sangat baik pak tahan,positif
Saran saya supaya dipertahankan karena proses menjelaskan materi kepada Siswa sangat jelas dan sangat bisa dipahami.,saran supaya tahan proses jelas materi siswa sangat jelas sangat paham,negatif
Saya sendiri masih bingung tujuan dri mapel studium ini sendiri karena jarang ada pemaparan materi dan yg saya tau mapel ini hanya seperti bimbingan bersana guru wali,sendiri bingung tuju dri mapel studium sendiri jarang papar materi yg tau mapel hanya bimbing sana guru wali,negatif
Respect pak,respect pak,positif
Penyampaiannya lebih di permudah,sampai lebih mudah,negatif
terimakasih Pak telah mengajar saya. mohon bimbingannya kedepan,terimakasih pak ajar mohon bimbing depan,positif
hehe,hehe,positif
ngoding itu susah pak...,ngoding susah pak,negatif
"Menurut saya pribadi, metode pembelajaran dan cara penyampaian bapak sulit untuk saya terima, saya kurang tau apakah hal itu terjadi hanya pada saya atau pada teman yang lain, tapi sepemahaman saya cara penyampaian bapak terlalu rumit dan berbelit sehingga saya sulit untuk memahami materi yang disampaikan. Terima kasih",pribadi metode ajar cara sampai bapak sulit terima kurang tau hal jadi saya atau pada teman lain paham saya cara sampai bapak terlalu rumit belit saya sulit paham materi sampai terima kasih,negatif
"semuanya sudah baik. Tetapi jika saya boleh memberikan saran, mungkin pemberitahuan jika tidak ada kelas/kelas ditunda dapat diberitahu pada hari sebelumnya, atau beberapa jam sebelum kelas (tidak terlalu dekat dengan jam kelas dimulai), agar Siswa tidak perlu jauhjauh datang ke sekolah",semua baik boleh beri saran mungkin pemberitahuan jika tidak kelas kelas tunda diberitahu hari belum beberapa jam belum kelas tidak terlalu dekat jam kelas mulai siswa tidak perlu jauhjauh datang sekolah,negatif
Tingkatkan lagi,tingkat,positif
banyakin bercanda bu biar kita fresh ¿¿¿¿¿¿¿¿,banyakin canda bu biar fresh,positif
bisa lebih jelas ketika menjelaskan materi,lebih jelas jelas materi,negatif
"Terima kasih sudah mengajar kami pak,sehat selalu dan selalu bertambah rezekinya",terima kasih ajar pak sehat selalu selalu tambah rezeki,positif
sudah bagus dalam penyampaian materi hanya saja dalam jadwal Pelajaran selalu tidak menentu,bagus sampai materi saja jadwal ajar selalu tidak tentu,negatif
Jangan menjelaskan terlalu cepat,jangan jelas terlalu cepat,negatif
semangat pak untuk mengajarnya,semangat pak ajar,positif
Sudah Baik,baik,positif
"kalau bisa pembelajarannya dilakukan secara offline, dan kalau bisa kita diajak untuk ke tempat perusahaan yang menjadi narasumber pembelajaran kita",kalau ajar laku offline kalau ajak ke tempat usaha jadi narasumber ajar kita,negatif
saran saya agar guru dapat memahami materi yg akan dijelaskan sehingga dapat menjelaskan materi dgn baik dan nantinya Siswa aksn lebih mudah mengerti,saran agar guru paham materi yg jelas dapat jelas materi dgn baik nanti siswa aksn lebih mudah erti,negatif
lebih baik offline pak,lebih baik offline pak,negatif
"Secara keseluruhan pengajaran Pelajaran pak sudah sangat bagus. Dengan penguasaan materi dan penjelasan yang diberikan sangat jelas dapat menjawab ketidaktahuan kami, serta memberikan sebuah ilmu baru bagi kami. Terima kasih pak",seluruh ajar ajar pak sangat bagus kuasa materi jelas beri sangat jelas jawab ketidaktahuan serta beri buah ilmu baru kami terima kasih pak,positif
Tetap menjadi guru yang asik dan friendly,tetap jadi guru asik friendly,positif
sebelum memberikan tugas lebih baik menjelaskan materinya terlebih dahulu,belum beri tugas lebih baik jelas materi lebih,negatif
Gud,gud,positif
Lebih ditingkatkan lagi metode pembelajaran nya,lebih tingkat metode ajar nya,positif
Sangat baik dalam interaksi kepada Siswa dan pembawaann nya selalu fun saran saya cuman satu tolong jadwal pelajarannya jangan terlalu pagi,sangat baik interaksi siswa pembawaann nya selalu fun saran cuman satu jadwal ajar jangan terlalu pagi,positif
Oke,oke,positif
semoga bisa offline di sekolah,moga offline sekolah,negatif
"Sudah baik dalam menjelaskan materi serta materi yang diberikan mudah dipahami, semoga bisa diterapkan di pembelajaran berikutnya, terima kasih ¿¿¿¿",baik jelas materi materi beri mudah paham moga terap ajar ikut terima kasih,positif
"Pembelajaran sangat menarik pak, mungkin bisa diperbanyak sesi berdiskusi bersama",ajar sangat tarik pak mungkin banyak sesi diskus sama,negatif
"Tidak ada komentar terkait metode belajar mengajar dari pak karena menurut saya sudah sangat baik. Namun saya tetap ingin mengucapkan terimakasih dan maaf jika selama satu semester ini saya dan temanteman banyak membuat kegaduhan dan kurang memperhatikan, semoga bapak bisa selalu tetap sabar dan ikhlas dalam menghadapi berbagai macam jenis siswa.",tidak komentar kait metode ajar ajar pak turut sudah sangat baik saya tetap ucap terimakasih maaf lama satu semester saya temanteman banyak buat gaduh kurang perhati moga bapak selalu tetap sabar ikhlas hadap bagai macam jenis siswa,positif
sudah oke,oke,positif
lebih baik dalam berinteraksi kepada Siswa,lebih baik interaksi siswa,negatif
Pada pemberian pembelajaran harap lebih runtut,beri ajar harap lebih runtut,negatif
"sering ada jam kosong, kalau ada jam kosong lebih baik di ganti pada hari lain",sering jam kosong kalau jam kosong lebih baik ganti hari,negatif
"Semoga ketika uas memberi soal nya tidak terlalu sulit, supaya bisa dapat nilai bagus :)))",moga uas beri soal nya tidak terlalu sulit bisa nilai bagus,positif
semangat terus bu,semangat terus bu,positif
Sangat baik dalam menjelaskan materi,sangat baik jelas materi,positif
"tidak ada, terima kasih pak selama satu semester ini, sehat selalu pak .",tidak terima kasih pak lama satu semester sehat selalu pak,positif
"permisi pak nitip komplain ke sekolah pak, masalah lift untuk segera di perbaiki",permisi pak nitip komplain sekolah pak masalah lift segera baik,negatif
Terimakasih semoga lebih baik,terimakasih moga lebih baik,positif
lebih akrab lagi,lebih akrab,negatif
"praktikum jangan kuis saja,, penunjukan saprak yang benarbenar berkompeten dan kalau pelajaran yang berguna seperti spss diaajari terlebih dahulu bukan pas terakhir jadi banyak yang tidak paham",praktikum jangan kuis tunjuk saprak benarbenar kompeten kalau ajar guna spss diaajari lebih bukan pas akhir jadi banyak tidak paham,negatif
"Mungkin diawal kelas bisa diadakan sharing, games, atau apapun yang bisa membuat Siswa semangat terlebih dahulu sebab kelasnya di siang hari dan cendurung gampang mengantuk.",mungkin awal kelas ada sharing games apa bisa buat siswa semangat lebih sebab kelas siang hari cendurung gampang antuk,negatif
Terima kasih pao,terima kasih pao,positif
"Untuk Pelajaran yang relatif dilakukan secara online mungkin dapat diadakan kelas offline secara lebih sering, karena materi yang sangat bagus tapi sangat eman karena kurang dalam penyampaiannya",ajar relatif laku online mungkin ada kelas offline lebih sering materi sangat bagus sangat eman kurang sampai,negatif
Tingkatkan,tingkat,positif
Belajar offline,ajar offline,negatif
"Cara mengajarnya bapak saya suka dan mudah dipahami, mungkin bisa dipertahankan bapak. Terimakasih untuk ilmu 1 semesternya",cara ajar bapak suka mudah paham mungkin tahan bapak terimakasih ilmu semester,positif
baik sekali,baik sekali,positif
Dalam memberikan materi bu sudah sangat baik,beri materi bu sangat baik,positif
"sarannya mungkin untuk suara lebih diperjelas lagi pada saat penjelasan materi,dan semoga pak sehat selalu",saran mungkin suara lebih jelas pada jelas materi moga pak sehat selalu,negatif
Cukup baik dalam menjalaskan materi,cukup baik menjalaskan materi,positif
sudah cukup baik untuk menerangkan materinya,cukup baik terang materi,positif
Tidak ada saran sudah cukup baik,tidak saran cukup baik,positif
Tetap diperthankan sudah sangat baik tinggal menambahi improve sedikit maka akan sempurnah,tetap diperthankan sangat baik tinggal tambah improve sedikit akan sempurnah,positif
Sudah Sangat Baik,sangat baik,positif
"Secara keseluruhan cara penyampaian Bapak sudah bagus dan bisa saya mengerti, Bapak juga sudah tepat waktu datang di kelas untuk mengajar pada jam mataPelajaran yang sekolahtentukan.",seluruh cara sampai bapak bagus bisa erti bapak sudah tepat waktu datang kelas ajar jam matapelajaran sekolahtentukan,positif
pada saat latihan sebuah materi mungkin ada banyak yang diajarkan dalam waktu yang sangat terbatas sehingga banyak materi yang terasa sulit dipahami,saat latih buah materi mungkin banyak ajar waktu sangat batas banyak materi asa sulit paham,negatif
"udah baik, semoga kedepannya lebih baik lagi ketika menjelaskan",udah baik moga depan lebih baik ketika jelas,positif
guru pengampu sudah mengajar dengan baik,guru ampu ajar baik,positif
semoga kedepan bisa makin ok,moga depan makin,positif
pak ayo ke lapangan,pak ayo lapang,positif
Perbanyak komunikasi dengan Siswa bu supaya Siswa bisa lebih senang untuk menerima materi,banyak komunikasi siswa bu siswa lebih senang terima materi,negatif
dimohon dapat lebih mempeedalam tiap materi yang diberikan,mohon lebih mempeedalam tiap materi beri,negatif
"tidak ada, Cukup baik",tidak cukup baik,positif
Saran lebih ke interaksi ke Siswa diperdekat biar tidak terlalu kaku,saran lebih interaksi siswa dekat biar tidak terlalu kaku,negatif
sudah baik bu,baik bu,positif
untuk mapel aljabar dan probstat di bikin lebih menarik pengajaran dan pptnya supaya tidak bosan.,mapel aljabar probstat bikin lebih tarik ajar pptnya tidak bosan,negatif
Lebih ditingkatkan dalam hal media pembelajaran dan juga paparan materi yang diberikan,lebih tingkat hal media ajar juga papar materi beri,positif
Sudah baik dalam menyampaikan Pelajaran,baik sampai ajar,positif
Terimakasih Pak atas perhatiannya,terimakasih pak atas perhati,positif
sudah bagus pak dalam mengajar,bagus pak ajar,positif
kurang untuk metode belajarnya,kurang metode ajar,negatif
Keren 2,keren,positif
Menurut saya materi yang disampaikan sangat baik dan guru juga sangat menguasai Pelajaran tersebut akan tetapi untuk penjelasan materi perlu sedikit diperlahan agar bisa memahami materi,saya materi sampai sangat baik guru sangat kuasa ajar sebut tetapi jelas materi perlu sedikit lah bisa paham materi,positif
Ibu sangat baik dalam menjelaskan,ibu sangat baik jelas,positif
Materi yg disampaikan dipastikan semua Siswa faham sebelum dilanjutkan meskipun nanti bisa belajar mandiri tapi tetap diberikan pemahaman di kelas,materi yg sampai pasti semua siswa faham belum lanjut meski bisa ajar mandiri tetap beri paham kelas,negatif
Tidak ada saran,tidak saran,positif
Sukses selalu pak,sukses selalu pak,positif
"Proses pembelajaran yang ada selama kelas berlangsung sudah cukup baik, dan semoga ke depannya bisa lebih baik lagi.",proses ajar ada lama kelas langsung cukup baik moga depan lebih baik,positif
memberikan soal yang lebih gampang,beri soal lebih gampang,positif
"Segala Materi dan Tugas Yang Diberikan Sudah Sangat Baik, Semoga kedepannya Bisa Di Ajar Bu Lagi",segala materi tugas beri sangat baik moga depan di ajar bu,positif
Semoga bisa lebih baik Kedepannya,moga lebih baik depan,positif
Semangat buat ngajarnya bapak/ibu guru,semangat buat ngajarnya bapak ibu guru,positif
Guru harus lebih banyak melakukan interaksi kepada siswa dan memiliki komunikasi yang baik dengan Siswa,guru lebih banyak laku interaksi siswa milik komunikasi baik siswa,negatif
Tapi yang ngajar Bu,yang ngajar bu,positif
Sarannya lebih baik lagi kedepannya,saran lebih baik depan,positif
Terimakasih Bu,terimakasih bu,positif
"saya suka dengan metode pembelajaran mengajak para Siswa untuk berdiskusi dan membagikan pemikiran mereka tentang topik yang dibahas, tapi tidak dengan cara sarkas",suka metode ajar ajak siswa diskus bagi pikir tentang topik bahas tidak cara sarkas,negatif
Sngat baik jika mengajar dan memberikan materi,sngat baik ajar beri materi,positif
Terima kasih bu harum,terima kasih bu harum,positif
Saya senang dengan pembelajaran ibu. Terima kasih banyak bu,senang ajar ibu terima kasih banyak bu,positif
saya berharap agar pertemuannya dilakukan tatap muka.karena kalau online atau zoom menurut sya kurang efektif,harap temu laku tatap muka kalau online zoom sya kurang efektif,negatif
Sehat selalu,sehat selalu,positif
"Sudah bagus, tidak ada saran.",bagus tidak saran,positif
"tiap kelas selalu Gurunya gak pernah jelasin, selalu siswanya di suruh praktek sendiri",tiap kelas selalu guru gak pernah jelasin selalu siswa suruh praktek sendiri,negatif
Memberikan dokumen materi dalam bentuk PPT ataupun PDF sehari sebelum kelas dilaksanakan agar dapat dipelajari dan dikuasai oleh Siswa,beri dokumen materi bentuk ppt atau pdf hari belum kelas laksana dapat ajar asai siswa,negatif
Okok,okok,positif
Semoga kedepannya lebih tepat waktu saat jam Pelajaran telah usai pak,moga depan lebih tepat waktu jam ajar usai pak,negatif
lebih ditambahkan lagi penjelasan untuk materinya,lebih tambah jelas materi,negatif
Sangat baik membimbing Siswa,sangat baik bimbing siswa,positif
Tetap semangat untuk pak mengajarnya sehat selalu pak...,tetap semangat pak ajar sehat selalu pak,positif
"saran saya, alangkah baik nya ibu Ulfah memperbaiki cara membelajaran nya, kasian anak¿¿ lain, ngezoom semacam lihat YouTube, terus memperbanyak perdekatan sama Siswa dan satu lagi, kalau orang memberi kritik/saran itu jangan di tolak gitu saja.",saran alangkah baik nya ibu ulfah baik cara ajar nya kasi anak ngezoom macam lihat youtube terus banyak dekat sama siswa satu kalau orang beri kritik saran jangan tolak gitu,negatif
"jika didapati siswa/i itu bertindak semena mena. maka guru pun juga tidak harus mencontohkan yang semena mena pula. karena guru telah dinyatakan sebagai pembelajar, pemberi arahan yang tidak menyimpang, dan mediasi dan/atau penengah dalam permasalahan yang mencangkup berkehidupan akademisi.",dapat siswa i tindak semena mena guru juga tidak contoh semena mena karena guru nyata ajar beri arah tidak simpang mediasi atau tengah masalah cangkup hidup akademisi,negatif
Semoga banyak offline nya,moga banyak offline nya,negatif
"Cukup baik Pak, saya ucapkan terima kasih atas bimbingan nya selama 1 semester ini, semoga ilmu yang diberikan Bapak bermanfaat bagi saya untuk kedepannya, aamiin.",cukup baik pak ucap terima kasih atas bimbing nya lama semester moga ilmu beri bapak manfaat saya depan aamiin,positif
Jika ingin memberi pemberitahuan bisa lebih awal lagi,ingin beri pemberitahuan lebih awal,negatif
"sudah baik, semoga kedepanya semakin baiksudah baik, semoga kedepanya semakin baik",baik moga depa makin baiksudah baik moga depa makin baik,positif
"Sedikit saran untuk guru alpro, jika saat menjelaskan kalau bisa suaranya lebih jelas lagi atau bisa juga tiap menjelaskan maskernya di buka biar terdengar lebih jelas saat menerangkan.",sedikit saran guru alpro jelas kalau suara lebih jelas atau juga tiap jelas masker buka biar dengar lebih jelas saat terang,negatif
"bu baikkkk bangeetttttttt,",bu baikkkk bangeetttttttt,positif
"jika ada jam yang kosong, bisa diganti dengan jam lain atau di hari lain",ada jam kosong ganti jam atau hari,negatif
"Apabila menerangkan materi terlalu cepat, banyak tugas dan suasana dikelas selalu tegang. sehingga Siswa merasa itu sulit dipahami apalagi ini adalah mapel yang susah menurut saya. Metode mengajar disetiap kelas berbeda.",apabila terang materi terlalu cepat banyak tugas suasana kelas selalu tegang siswa rasa sulit paham ini mapel susah saya metode ajar tiap kelas beda,negatif
Samgat baik,samgat baik,positif
penyampaian materi detail,sampai materi detail,positif
tidak ada menurut saya Bu sudah sangat baik dalam menyampaikan materi dan penjelasan nya mudah dimengerti,tidak turut bu sangat baik sampai materi jelas nya mudah erti,positif
kalau tugas jangan tulis tangan karena jamanya sudah maju,kalau tugas jangan tulis tangan jamanya maju,negatif
lebih asik dalam mengajar,lebih asik ajar,negatif
"sangat cukup baik dalam menyampaikan materi pada Pelajaran yang diajarkan, dan untuk kedepannya cukup dipertahankan saja. terimakasih",sangat cukup baik sampai materi ajar ajar untuk depan cukup tahan terimakasih,positif
sudah bagus.,bagus,positif
Tetap memberikan yang terbaik,tetap beri baik,positif
"penampilan materi ppt yang sangat monoton / kurang menarik sehingga membuat kami hanya fokus pada tampilan kata kata nya, cepat jenuh untuk menyimak materi ppt. Serta hendaknya ada pemberian tugas studi kasus tiap minggu nya untuk mengevaluasi hasil pemahaman materi yg telah disampaikan tiap minggunya, sehingga kami juga bisa terlatih bagaimana penerapan manajemen pemasaran dari hasil studi kasus yang telah terjadi.",tampil materi ppt sangat monoton kurang tarik buat hanya fokus tampil kata kata nya cepat jenuh simak materi ppt hendak beri tugas studi kasus tiap minggu nya evaluasi hasil paham materi yg sampai tiap minggu kami bisa latih bagaimana terap manajemen pasar hasil studi kasus telah jadi,negatif
"sudah sangat baik, dalam segala hal.",sangat baik segala,positif
Lebih baik memberikan nilai,lebih baik beri nilai,positif
menurut saya saat bapak menjelaskan materi lebih baik memakai power point sehingga Siswa bisa mempelajari ulang lebih maksimal,saya bapak jelas materi lebih baik pakai power point siswa ajar ulang lebih maksimal,negatif
Sudah bak,bak,positif
saran saya seharusnya kehadiran di sekolah juga perlu diikutkan dalam penilaian,saran harus hadir sekolah perlu ikut nilai,negatif
Penjelasan materi terlalu cepat dan tidak runtut sehingga Siswa sedikit kesulitan untuk memahami materi yang diberikan,jelas materi terlalu cepat tidak runtut siswa sedikit sulit paham materi beri,negatif
Mohon bisa luring,mohon luring,negatif
kurangi mengajar dengan media menonton video,kurang ajar media tonton video,negatif
Untuk saran tidak ada dikarenakan guru dalam menjelaskan materi sangat baik dan membuat pemahaman Siswa sangat baik,saran tidak karena guru jelas materi sangat baik buat paham siswa sangat baik,positif
Sudah cukup baik dan untuk kedepannya bisa lebih baik lagi,cukup baik untuk depan lebih baik,positif
terimakasih banyak ibu,terimakasih banyak ibu,positif
cara mengajarnya asik membuat siswanya betah dalam belajar,cara ajar asik buat siswa betah ajar,positif
penjelasan sangat mudah dimengerti tetapi sedikit kurang jelas saat menjelaskan praktikum lebih baik lebih perlahan saat menjelaskan praktikum,jelas sangat mudah erti sedikit kurang jelas jelas praktikum lebih baik lebih perlahan jelas praktikum,negatif
"Untuk asisten Gurunya kurang membantu dalam praktikum dan kemampuannya sangat kurang, kedepannya mungkin bisa dijelaskan tentang aplikasi untuk praktikum dan diberikan waktu untuk memahami aplikasinya, saya tidak memahami apa yang diajarkan saat praktikum",asisten guru kurang bantu praktikum mampu sangat kurang depan mungkin jelas aplikasi praktikum beri waktu paham aplikasi tidak paham apa ajar praktikum,negatif
"Sudah baik dalam penyampaian materi, antara materi dan soal yang diberikan saat Ujian pun sesuai",baik sampai materi materi soal beri uji sesuai,positif
saran saya adalah memberikan contoh soal seperti yang akan diberikan ketika diberi soal,saran adalah beri contoh soal yang beri beri soal,negatif
Pertama kali bisa pemrograman web.. karena diajarin mba,pertama kali pemrograman web diajarin mba,positif
"Terimakasih sudah mengajarkan dan menghargai pekerjaan siswanya , keep it up bu bisa ditingkatkan lagi menjadi guru yang lebih baik lagi",terimakasih ajar harga kerja siswa keep it up bu tingkat jadi guru lebih baik,positif
sudah baik dan jelas saat menyampaikan materi,baik jelas sampai materi,positif
